id,ISO,Start Year,Start Month,Start Day,End Year,End Month,End Day,Admin Units,Entry Date,Last Update
2000-0438-KHM,KHM,2000,7,11,2000,8,10,"[{""adm1_code"":791,""adm1_name"":""Banteay Meanchey""},{""adm1_code"":792,""adm1_name"":""Battambang""},{""adm1_code"":793,""adm1_name"":""Kampong Cham""},{""adm1_code"":794,""adm1_name"":""Kampong Chhnang""},{""adm1_code"":795,""adm1_name"":""Kampong Speu""},{""adm1_code"":796,""adm1_name"":""Kampong Thom""},{""adm1_code"":797,""adm1_name"":""Kampot""},{""adm1_code"":798,""adm1_name"":""Kandal""},{""adm1_code"":799,""adm1_name"":""Koh Kong""},{""adm1_code"":801,""adm1_name"":""Kratie""},{""adm1_code"":804,""adm1_name"":""Otdar Meanchey""},{""adm1_code"":806,""adm1_name"":""Phnom Penh""},{""adm1_code"":807,""adm1_name"":""Preah Vihear""},{""adm1_code"":808,""adm1_name"":""Prey Veng""},{""adm1_code"":809,""adm1_name"":""Pursat""},{""adm1_code"":810,""adm1_name"":""Ratanak Kiri""},{""adm1_code"":811,""adm1_name"":""Siem Reap""},{""adm1_code"":812,""adm1_name"":""Stung Treng""},{""adm1_code"":813,""adm1_name"":""Svay Rieng""},{""adm1_code"":814,""adm1_name"":""Takeo""}]",9/15/05,9/25/23
2000-0441-KOR,KOR,2000,7,22,2000,7,22,"[{""adm1_code"":2439,""adm1_name"":""Kyonggi-do""},{""adm1_code"":2443,""adm1_name"":""Seoul""}]",7/1/03,9/25/23
2000-0444-IND,IND,2000,7,,2000,7,,"[{""adm2_code"":70041,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70045,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70050,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70051,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70054,""adm2_name"":""Administrative unit not available""},{""adm2_code"":17571,""adm2_name"":""East Siang""},{""adm2_code"":17575,""adm2_name"":""West Siang""},{""adm2_code"":70084,""adm2_name"":""Lower Dibang Valley""}]",7/1/03,9/25/23
2000-0445-IND,IND,2000,8,2,2000,8,30,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""},{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":70036,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70037,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm1_code"":70074,""adm1_name"":""Chandigarh""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm2_code"":17635,""adm2_name"":""Ahmadabad""},{""adm2_code"":17670,""adm2_name"":""Kinnaur""},{""adm2_code"":17945,""adm2_name"":""Bankura""},{""adm2_code"":17946,""adm2_name"":""Barddhaman""},{""adm2_code"":17947,""adm2_name"":""Birbhum""},{""adm2_code"":17949,""adm2_name"":""Haora""},{""adm2_code"":17950,""adm2_name"":""Hugli""},{""adm2_code"":17953,""adm2_name"":""Maldah""},{""adm2_code"":17955,""adm2_name"":""Murshidabad""},{""adm2_code"":17956,""adm2_name"":""Nadia""},{""adm2_code"":70293,""adm2_name"":""North 24 Parganas""},{""adm2_code"":70296,""adm2_name"":""West Midnapore""},{""adm2_code"":17608,""adm2_name"":""Katihar""},{""adm2_code"":17630,""adm2_name"":""Sitamarhi""},{""adm2_code"":17932,""adm2_name"":""Pithoragarh""},{""adm2_code"":70285,""adm2_name"":""Naini Tal""}]",1/3/08,9/25/23
2000-0446-THA,THA,2000,7,,2000,7,,"[{""adm1_code"":2851,""adm1_name"":""Amnat Charoen""},{""adm1_code"":2854,""adm1_name"":""Buriram""},{""adm1_code"":2863,""adm1_name"":""Kalasin""},{""adm1_code"":2870,""adm1_name"":""Loei""},{""adm1_code"":2873,""adm1_name"":""Maha Sarakham""},{""adm1_code"":2877,""adm1_name"":""Nakhon Phanom""},{""adm1_code"":2903,""adm1_name"":""Roi Et""},{""adm1_code"":2905,""adm1_name"":""Sakon Nakhon""},{""adm1_code"":2911,""adm1_name"":""Si Saket""},{""adm1_code"":2917,""adm1_name"":""Surin""},{""adm1_code"":2921,""adm1_name"":""Ubon Ratchathani""},{""adm1_code"":2922,""adm1_name"":""Udon Thani""},{""adm1_code"":2926,""adm1_name"":""Yasothon""},{""adm2_code"":26518,""adm2_name"":""Khun Tan""},{""adm2_code"":26523,""adm2_name"":""Muang Chiang Rai""},{""adm2_code"":26525,""adm2_name"":""Phan""}]",7/1/03,9/25/23
2000-0472-CHN,CHN,2000,7,11,2000,7,14,"[{""adm2_code"":13215,""adm2_name"":""Xi'an""},{""adm2_code"":13222,""adm2_name"":""Ankang""}]",2/23/06,9/25/23
2000-0475-CMR,CMR,2000,8,3,2000,8,5,"[{""adm2_code"":12490,""adm2_name"":""Wouril""}]",10/21/04,9/25/23
2000-0476-NPL,NPL,2000,6,,2000,6,,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22362,""adm2_name"":""Dhawalagiri""},{""adm2_code"":22363,""adm2_name"":""Gandaki""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]",4/17/07,9/25/23
2000-0478-RUS,RUS,2000,7,30,2000,8,6,"[{""adm1_code"":2516,""adm1_name"":""Khabarovskiy Kray""},{""adm1_code"":2547,""adm1_name"":""Primorskiy Kray""},{""adm1_code"":2552,""adm1_name"":""Sakhalinskaya Oblast""}]",9/15/05,9/25/23
2000-0484-BTN,BTN,2000,8,2,2000,8,30,"[{""adm2_code"":5943,""adm2_name"":""Sampheling""},{""adm2_code"":5953,""adm2_name"":""Phuentshogling""}]",9/15/05,9/25/23
